phase,epoch,train_loss,val_loss,roc_auc,pr_auc,f1,accuracy,loss
val,1,0.30013634811401974,0.20900268620886261,0.9625853474958335,0.9286102483028084,0.8515901060070671,0.9273984442523768,
val,2,0.22137468253832326,0.18574834986555236,0.9767632082210088,0.9513008588166446,0.8710217755443886,0.9334485738980121,
val,3,0.21004095212372206,0.17850093535802028,0.9747202445412164,0.951285449372033,0.8633879781420765,0.9351771823681936,
val,4,0.190698138760296,0.184463287388959,0.9756188413477416,0.9497109635158152,0.8413284132841329,0.9256698357821953,
val,5,0.17857477604800662,0.2264330969960811,0.9799582190886538,0.9542124557082855,0.8436578171091446,0.9083837510803803,
val,6,0.16812153040467495,0.1554552969766673,0.9811640284786065,0.9603762273579337,0.8738898756660746,0.9386343993085566,
val,7,0.1628001629392062,0.18203501501213196,0.9822623134643595,0.9630501487494149,0.8475836431226765,0.9291270527225584,
val,8,0.15751067608490868,0.13483094829058173,0.9846240101994579,0.9660985043746866,0.8991452991452992,0.9490060501296457,
val,9,0.15549359647137484,0.15087950882617007,0.9833682787646982,0.9647631498638866,0.8904593639575972,0.9464131374243734,
val,10,0.14931924073394015,0.16513850241448721,0.9803038332450097,0.9629037552760108,0.8837209302325582,0.9438202247191011,
test,,,,0.9724035925159872,0.9446872590751246,0.8419047619047619,0.9282006920415224,0.1956517739563046
